"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&start=1990&end=2016&showdm=y"
"Sat Feb 02 2019 10:39:42 GMT-0600 (CST)"
"Source: U.S. Energy Information Administration"
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Bosnia and Herzegovina","Quad Btu",--,--,0.058002528677555,0.042851917987214,0.055919755832385,0.091804293860793,0.076782670283379,0.12618982528714,0.14800247045773,0.15438502403493,0.15916280347222,0.16299393762726,0.12615479942245,0.12326108630588,0.1408189085907,0.14257302745401,0.14347375584717,0.12801005835948,0.14552579303694,0.15769978087984,0.16991803468106,0.14515079541179,0.14084468905689,0.15922164166129,0.14603440166177,0.14006234315736,0.14597784372726
"","Botswana","Quad Btu",0.017682117031453,0.017918840686798,0.020129943187251,0.019820005236767,0.020129943187251,0.020530797225748,0.016424637780598,0.017562525985912,0.020577173976149,0.016023783742102,0.020933488677034,0.020753493913801,0.021445988743008,0.018655874853616,0.020575336563358,0.021935623773275,0.021846842781505,0.018878571541669,0.020530797225748,0.016870031156705,0.022004865559383,0.01754849901862,0.032758682812678,0.033649931065623,0.038443654529014,0.04653421191797,0.041854681698889
"","Brazil","Quad Btu",4.0320549181788,4.2064385318972,4.2391326711419,4.3584226439508,4.558830034058,4.7702661282383,5.1666464392795,5.4262231283756,5.8119221241696,6.1910947415099,6.6214880312238,6.4286399012378,6.9998977296562,7.357848251115,7.4864239445122,8.0421488566313,8.4208322642429,8.8459854481998,9.2216189474844,9.532023269974,10.142027941651,10.482295568977,10.370743070957,10.310658738906,10.806964716727,11.161198641663,11.625921743832
"","Brunei","Quad Btu",0.7242153,0.680761625,0.704162266,0.7130798926,0.72391296,0.75121499,0.7271057162,0.7413915468,0.7027080906,0.7760856345,0.8165100069,0.836795449875,0.79287674925,0.8280780864,0.85110792461,0.863327065,0.972925878,0.863986339,0.827262183,0.7308126405,0.75184981758558,0.81451461441029,0.77025898388511,0.72296774360479,0.67114123777501,0.70848226434071,0.68163986158811
"","Bulgaria","Quad Btu",0.36798205708292,0.33591494117109,0.32920537773154,0.3461370776713,0.35393264636514,0.39361740101489,0.41663687374402,0.39135997072573,0.39158147468895,0.34837932925231,0.37996222465919,0.38233890022956,0.40406383643572,0.37412161976372,0.37649602097747,0.4969319142937,0.41556287149355,0.36362597940414,0.3707676556044,0.35996026711882,0.3947897206522,0.44550977429681,0.43153581332462,0.39850302862547,0.46063161016381,0.49542413652622,0.45368859364502
"","Burkina Faso","Quad Btu",9.3618E-5,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.00117876,0.001174495,0.000795366,0.001257798,0.000989497,0.000547649,0.000651072,0.000972,0.001006047104,0.000994580532,0.000792141259,0.001090234852,0.001326082342,0.00127830624,0.001190232,0.00087444,0.001008696,0.0011077101,0.000962412,0.0009831545,0.001440192
"","Burma (Myanmar)","Quad Btu",0.08295579521044,0.0847803215695,0.086489387572313,0.091432558858413,0.10243085249795,0.10116701085841,0.095042691697946,0.095627167703574,0.10068858569935,0.090118063690547,0.16561514183263,0.27513948390942,0.37809429956995,0.43135628022589,0.45773555089559,0.56917760633757,0.56705247371891,0.60192457789733,0.56164993266144,0.53209234879787,0.55612516043183,0.57456470164632,0.580252310746,0.59868275942193,0.70143954624583,0.78206768804026,0.8384406094288
"","Burundi","Quad Btu",0.001113014,0.00114796,0.001075568,0.001113372,0.001176024,0.001206504,0.00120978,0.00122556,0.001111473,0.000991922,0.000999698,0.001177962,0.001281798,0.0010125,0.00090144,0.000949905,0.000912548,0.001146544,0.001093794,0.0011712,0.0014331564,0.00131166,0.001398852,0.001412068,0.0014265,0.00223656,0.002594192
"","Cambodia","Quad Btu",0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000496125,0.000420672,0.000589941,0.000644735,0.00064246,0.000610948,0.000569008,0.0005395068,0.0007510468,0.0051319788,0.0097919283,0.017729493,0.0189949177,0.0245598896
"","Cameroon","Quad Btu",0.376207258,0.359904032,0.331688448,0.302510514,0.262153276,0.26906664,0.264651724,0.300674953,0.293844585,0.250960026,0.219076328,0.202337683,0.183202614,0.181283305,0.182184288,0.2172305782,0.2332389682,0.2195182042,0.2206104502,0.2078984322,0.19048820868415,0.18173917946058,0.18100352672899,0.17575077722754,0.22404307161017,0.27813795297302,0.26908805182481
"","Canada","Quad Btu",13.155026384178,13.686785102967,14.231144651883,15.127319163987,16.0571630462,16.523052468724,16.911129608623,17.059439863031,17.04717695715,17.311003243351,17.777547691466,17.894371649753,18.244170139663,18.161135862859,18.552403801514,18.765975830794,19.1117139392,19.420994782524,18.943573854751,18.275857471057,18.272057339857,18.685088130594,19.094293247494,19.906222707563,20.793359739711,20.919888016709,21.17889519354
"","Cape Verde","Quad Btu",0,0,0,2.0618E-5,5.158E-5,6.1872E-5,7.238E-5,7.1491E-5,8.1576E-5,8.1808E-5,8.1608E-5,6.1998E-5,6.1038E-5,5.0625E-5,6.0096E-5,5.9994E-5,6.9433E-5,6.9188E-5,5.9124E-5,6.832E-5,3.9024E-5,0.0002429,0.000656604,0.000744198,0.00077031,0.000717563,0.0006924
"","Cayman Islands","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Central African Republic","Quad Btu",0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001241984,0.001329867,0.001378741,0.001344224,0.001340144,0.0013176,0.0013082796,0.0014214508,0.0014216904,0.0014731304,0.001487364,0.0014015776,0.0015731328
"","Chad","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822992,0.3895944,0.4027104,0.3596736,0.32887232,0.29084416,0.27221536,0.2791056,0.26184288,0.23862384,0.22776,0.2755896,0.2802923957,0.2608013776
"","Chile","Quad Btu",0.29833841686128,0.28863990468608,0.3219695701248,0.325902738104,0.32486682835641,0.34915069448558,0.33278817804385,0.33207733156353,0.28832728572536,0.22557889780106,0.27942624147503,0.31275308178333,0.34493735287549,0.32758757448333,0.32147192221711,0.37883755220758,0.39564867063653,0.33484160187703,0.35471195443559,0.38322294066284,0.33841495726405,0.34446566664432,0.32145231784132,0.35756117553838,0.40534163533613,0.41178520081299,0.41342877169386
"","China","Quad Btu",31.87597702469,32.13092341807,32.909414365489,34.050100284725,36.214502808555,37.9558251352,40.031377669205,39.425270127371,39.058474474904,38.821504432093,41.261146335453,44.011044123317,46.202137147169,52.764545096158,60.327922142894,66.779393520765,72.186492440191,77.523090008242,82.354028645073,87.797967815933,97.033086639492,104.94640269171,110.98766884549,113.40374823023,114.79224768696,114.298446961,108.18098127638
"","Colombia","Quad Btu",1.9223266180765,1.8660060044933,1.8886893673282,1.9824008419279,2.0544811295475,2.4298740975318,2.6590437130438,2.7856579354773,2.983300252369,3.146426715817,3.0094148313357,3.0061796274461,2.9307713855995,3.0266415140997,3.1403069307241,3.2749119721261,3.5021234860768,3.5331692721004,3.926747947662,4.0795829990663,4.4160053635731,5.0591669317407,5.226305340013,5.3054149351899,5.3472942520186,5.3171734633611,5.1784227007528
"","Comoros","Quad Btu",2.0804E-5,2.0872E-5,2.0684E-5,2.0618E-5,2.0632E-5,2.0624E-5,2.068E-5,2.0426E-5,2.0394E-5,2.0452E-5,2.0402E-5,2.0666E-5,3.0519E-5,4.05E-5,5.008E-5,4.9995E-5,4.9595E-5,4.942E-5,4.927E-5,4.88E-5,4.878E-5,4.858E-5,2.8548E-5,1.9082E-5,1.902E-5,1.8638E-5,1.8464E-5
"","Congo (Brazzaville)","Quad Btu",0.35324597,0.334173064,0.372541022,0.385371095,0.382378204,0.400304016,0.42977418,0.558151798,0.581703783,0.5925627,0.615272186,0.5602208841,0.5474389124,0.5385331794,0.5143327357,0.5031164349,0.5287535713,0.4620915941,0.5222647097,0.5988229533,0.76581639776104,0.66907330174319,0.61910968774141,0.58947768582429,0.56960249423882,0.57893117603206,0.49030074247578
"","Congo (Kinshasa)","Quad Btu",0.12387382110791,0.11607453148413,0.11901808135917,0.11043364623421,0.1113328811126,0.12813717773872,0.12683915030404,0.11163458886936,0.1049222754039,0.10122014193843,0.11652778046546,0.11228962680855,0.11011586715164,0.10958971749473,0.11647459683782,0.11655212148647,0.11731872403602,0.12426783558557,0.11648192693692,0.12340123648647,0.12099098474404,0.11873467271745,0.11489378318355,0.1209635548352,0.12635264171384,0.12565012149248,0.12688018289807
"","Cook Islands","Quad Btu",0,0,1.0342E-6,1.0309E-6,1.0316E-6,1.0312E-6,1.034E-6,1.0213E-6,1.0197E-6,1.0226E-6,1.0201E-6,1.0333E-6,1.0173E-6,1.0125E-6,1.30208E-6,1.29987E-6,1.28947E-6,1.28492E-6,1.28102E-6,1.2688E-6,1.26828E-6,1.26308E-6,9.516E-7,7.6328E-6,1.902E-5,2.7957E-5,3.6928E-5
"","Costa Rica","Quad Btu",0.034825896,0.037872244,0.04157484,0.045235892,0.0451325,0.041278936,0.04457574,0.055109348,0.049995891,0.061284418,0.069295393,0.070099072,0.075343988,0.073572745,0.0808316914,0.0817431375,0.0829162355,0.0853243195,0.0890960352,0.08577088,0.08653572,0.086414104,0.08988171742872,0.087302532558695,0.08833569328629,0.10091587384047,0.1000064870766
"","Cote dIvoire (IvoryCoast)","Quad Btu",0.018228758,0.017574052,0.014212098,0.012359018,0.026269828,0.037713975,0.0659507076,0.082182246,0.086183599,0.0994388634,0.0922889035,0.0916143495,0.0908302602,0.1069247242,0.120589995,0.1451848159,0.1958413758,0.1836992578,0.203280028,0.2023989414,0.16909913119645,0.16043615449199,0.16207795159308,0.16769192823002,0.16845541433164,0.14922949633299,0.20253718428513
"","Croatia","Quad Btu",--,--,0.2014016943552,0.21178909732229,0.21391158245447,0.20931730972926,0.2146084928436,0.18669319724564,0.19242891269036,0.18945507141165,0.182349615252,0.18956639334,0.16436549531,0.17041965152,0.1789626812,0.165518569,0.1584516596,0.154956159314,0.16197057443,0.17838566235,0.19766529027623,0.15077938792213,0.14448321898,0.17530184537869,0.17723463588033,0.14841748143115,0.14990065798518
"","Cuba","Quad Btu",0.055550655,0.0536369095,0.0595302188,0.062837246,0.07222181,0.0739261305,0.08686963303,0.113664263,0.1012740545,0.1218824911,0.1313894069,0.1392155763,0.1355393788,0.1517077592,0.158541313564,0.14243442531,0.14020249106,0.144739546534,0.170167117296,0.16603775819092,0.17364573037229,0.17713920991068,0.17160182705497,0.16849656762294,0.17227541407488,0.1703247405111,0.16743131021432
"","Cyprus","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.999E-6,9.919E-6,2.9652E-5,0.00040279122,0.00059596525,0.00091759585,0.00198373255,0.00270059322,0.0032172304,0.00301629105,0.0037387637,0.00392474994
"","Czech Republic","Quad Btu",--,--,--,1.5721975756305,1.4453325925141,1.3991405526246,1.4451787324113,1.3937841413719,1.285986949737,1.1559972557573,1.2585857354741,1.2882074866603,1.2935741033526,1.3690700738465,1.3847663684512,1.3357743771702,1.366502322268,1.362067234649,1.3289439211428,1.2855721039514,1.2897297694863,1.350063565058,1.3429722571668,1.2457181218682,1.1433049181957,1.1041190784835,1.0382560611549
"","Denmark","Quad Btu",0.382111944,0.461687222,0.513186464,0.555924963,0.595891282,0.614027572,0.7088494906,0.8169425911,0.83970779301,0.981869639,1.1452607235,1.1200624495,1.18064860312,1.18472466505,1.287198951108,1.304151898242,1.221870390088,1.12256223625,1.105348118738,0.9787992921,0.96403876849854,0.86723718773843,0.79959690439953,0.71594169018041,0.70818174799256,0.69377043802582,0.65369276654989
"","Djibouti","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.758E-6,4.7705E-6,4.755E-6,4.6595E-6,4.616E-6
"","Dominica","Quad Btu",0.000166432,0.000166976,0.000165472,0.000164944,0.000175372,0.000195928,0.00019646,0.00020426,0.000275319,0.000327232,0.000326432,0.000278991,0.00030519,0.000293625,0.000340544,0.0002719728,0.0002697968,0.0002105292,0.0002000362,0.000233264,0.0002331684,0.0003488044,0.0002607384,0.0003568334,0.000298614,0.0002273836,0.0003360448
"","Dominican Republic","Quad Btu",0.004337634,0.006032008,0.00573981,0.011886277,0.005911068,0.006589368,0.00924396,0.007210378,0.007729326,0.01150425,0.008079192,0.007584422,0.00925743,0.01253475,0.01672672,0.019128087,0.017645901,0.017188276,0.013923702,0.0145668,0.014287662,0.015477588,0.019612476,0.02442496,0.01950501,0.017389254,0.024437104
"","Ecuador","Quad Btu",0.682325074,0.71357625,0.76294836,0.821045888,0.873118846,0.918056138,0.943441916,0.923507559,0.895325469,0.89757541,0.954373711,0.984829864,0.94096499862,0.979897602125,1.241939771604,1.246309409152,1.263412422638,1.22916123952,1.231172257728,1.165625506154,1.1622862198676,1.2123282980019,1.2424901484995,1.2798016199421,1.3518349815256,1.3334604475014,1.3762593684492
"","Egypt","Quad Btu",2.3618721491842,2.3959841036,2.38718403266,2.4813551658,2.5229371876,2.5985357104,2.649583702,2.5140814866,2.4776952668,2.593512825481,2.5475862790046,2.6912638887133,2.6692878274533,2.8516819755133,2.8578160004818,3.1709381971468,3.5785114691468,3.6368757121468,3.8158200468468,3.9585217269695,3.8978517705075,3.9046180551498,3.8952822725337,3.7536646350551,3.4597680727323,3.3137037245966,3.1685671850617
"","El Salvador","Quad Btu",0.019410132,0.013337208,0.014406406,0.015989259,0.016515916,0.01964436,0.02392676,0.019629386,0.020638728,0.02423562,0.020085769,0.022081621,0.0221908875,0.026014948,0.0250207592,0.0299879385,0.039680431,0.0383440505,0.0427146708,0.03177856,0.037921572,0.037144268,0.035704032,0.036122226,0.0352821,0.032234421,0.0320812
"","Equatorial Guinea","Quad Btu",2.0804E-5,0.000419744,0.0034201208,0.00897462,0.010007944,0.0099750784,0.034014696,0.104548176,0.1665733432,0.2053591102,0.3361799303,0.36296264415,0.47088244235,0.45983453238,0.7386254925,0.790516486,0.7614299905,0.8310550292,0.926766828706,0.909506722304,0.88026933956,0.841172405296,0.8454322869,0.8128425035,0.7730500976,0.755096052,0.6947222412072
"","Eritrea","Quad Btu",--,--,--,--,0,0,0,1.0213E-5,1.0197E-5,1.0226E-5,1.0201E-5,1.0333E-5,1.0173E-5,1.0125E-5,1.0016E-5,9.999E-6,1.9838E-5,1.9768E-5,1.9708E-5,1.952E-5,3.9024E-5,3.8864E-5,3.8064E-5,3.8164E-5,3.804E-5,3.7276E-5,0.000203104
"","Estonia","Quad Btu",--,--,1.0342E-5,1.0309E-5,3.0948E-5,8.2496E-5,7.238E-5,0.000112343,0.000173349,0.000173842,0.000193819,0.000196327,0.00030519,0.000496125,0.00060096,0.001109889,0.00128947,0.00143318,0.001941238,0.005281136,0.0101862396,0.0114571072,0.0140579868,0.012222021,0.01393215,0.015245884,0.015260496
"","Ethiopia","Quad Btu",0.011317376,0.011448292,0.011655434,0.012896559,0.01382344,0.014581168,0.0154583,0.01583015,0.016203033,0.016453634,0.016678635,0.0203777093,0.020376519,0.022852125,0.024999936,0.028047195,0.031998694,0.033121284,0.0324229492,0.035325707538151,0.049695339926007,0.061809103502202,0.07162876955424,0.08243237298046,0.09003951232644,0.09688322218974,0.10333412828107
"","Falkland Islands (Islas Malvinas)","Quad Btu",0,0,0,0,0,0,0,0,0,0,2.0402E-6,2.0666E-6,2.0346E-6,2.53125E-6,2.504E-6,2.49975E-6,2.9757E-6,2.9652E-6,1.9708E-5,1.952E-5,4.878E-5,5.8296E-5,6.6612E-5,6.6787E-5,6.657E-5,8.3871E-5,8.3088E-5
"","Faroe Islands","Quad Btu",0.000769748,0.000772264,0.000858386,0.000756917707,0.00077994118,0.00077927784,0.00072528896,0.000772266208,0.000785648259,0.00071597339,0.000773082785,0.000782197767,0.000977503224,0.000889207875,0.001011135232,0.001083071682,0.001139812128,0.001177836744,0.00106314806,0.00103931312,0.00078789456,0.001039612,0.00104676,0.001059051,0.00148356,0.001761291,0.001458656
"","Fiji","Quad Btu",0.004171202,0.004184836,0.004198852,0.004185454,0.004394616,0.00458884,0.00461164,0.00459605426,0.004466510334,0.0048057087,0.0044282541,0.0049918723,0.0047823273,0.0036865125,0.0038771936,0.0035906409,0.0035817509,0.0053185804,0.0050757954,0.004685776,0.0041004468,0.0044800476,0.005081544,0.005094894,0.00388008,0.003876704,0.004652928
"","Finland","Quad Btu",0.354667287,0.37902907,0.393955444,0.393588032,0.37684364,0.386569706085,0.3739303776874,0.401858644686,0.46293297492,0.441611375275,0.455640037785,0.443273806278,0.41800272306,0.414169067598,0.47743026076,0.463402621052,0.448080902733,0.472925186535,0.50454501833,0.45421167784252,0.47351616652784,0.4726281751492,0.50928420129668,0.49245311027659,0.4993360873113,0.5338550598412,0.51598176932888
"","Former Czechoslovakia","Quad Btu",1.6697220004608,1.5745006780631,1.4508836096386,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Serbia and Montenegro","Quad Btu",--,--,0.53622034244234,0.51578826744324,0.4939364043462,0.44274016149113,0.59998079508594,0.58117945242657,0.59736426169181,0.49568522426795,0.50754286215431,0.50678015587854,0.51400470322406,0.50018094397879,0.51514752901403,0.48044778049504,--,--,--,--,--,--,--,--,--,--,--
"","Former U.S.S.R.","Quad Btu",72.110447659226,66.438687942141,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Yugoslavia","Quad Btu",1.3885992015105,1.2900530601124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
