,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kosovo,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.058229051,0.066502716,0.069738534,0.067427235,0.063243393,0.065476343,0.057123432,0.065500878,0.070606807
Kuwait,Quad Btu,0,0,0,0,0,0,0,0,0,0,4.48E-07,1.65E-06,2.93E-06,1.65E-06,2.66E-06,1.34E-05,2.42E-05,1.95E-05,1.23E-05,2.36E-05,3.48E-05,0.000531431,0.005643443,0.006253694,0.008644074,0.009030586,0.008278958
Kyrgyzstan,Quad Btu,--,--,0.041969255,0.037520277,0.034323103,0.013397682,0.0196567,0.020756258,0.020620928,0.020587095,0.019064631,0.01336385,0.021010002,0.024883827,0.023023037,0.022109559,0.021010002,0.024004181,0.033257378,0.029282056,0.028554656,0.03093985,0.043457886,0.034204689,0.042773229,0.042682519,0.034200856
Laos,Quad Btu,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,0.000390313,0.000841875,0.000997586,0.001153297,0.000240616,0.0018857,0.001813746,0.002351398,0.002816036,0.003086522,0.003103116,0.00311971,0.003235869,0.002836281,0.003030433,0.003113919,0.00328152,0.003254969,0.013442699,0.01421647,0.068932338,0.068462572
Latvia,Quad Btu,--,--,0.016109519,0.014554452,0.010326614,0.006123075,0.005807202,0.004762392,0.003547496,0.003061537,0.002356898,0.003085835,0.002478387,0.00245409,0.002381196,0.00291575,0.003158729,0.003936262,0.003936262,0.003158729,0.004057752,0.004179242,0.00337741,0.002940048,0.00243426,0.001927357,0.001455265
Lebanon,Quad Btu,0,0,0,0.002756499,0.002781332,0.004594165,0.005512998,0.005637165,0.004780415,0.004414017,0.003650286,0.003482661,0.003315037,0.001663408,0.001970138,0.001941556,0.001912974,0.001988428,0.002063881,0.002944167,0.00473471,0.006315226,0.005893785,0.004247286,0.005053588,0.0039029,0.002990586
Lesotho,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Quad Btu,--,--,0.017085349,0.015293724,0.012515407,0.009659194,0.008776364,0.006802981,0.005764358,0.004621872,0.00340149,0.003037972,0.005478736,0.007036671,0.006854912,0.00745212,0.010360265,0.009840953,0.008412846,0.006283669,0.007789673,0.008646537,0.008127225,0.0092723,0.008069324,0.006543244,0.006440208
Luxembourg,Quad Btu,0.004868079,0.005016345,0.006869675,0.006844963,0.007759273,0.0053623,0.005980076,0.004793946,0.003756081,0.003780792,0.004250302,0.004719812,0.002817061,0.002125151,0.003113593,0.003014749,0.003632526,0.002990038,0.002841772,0.00256995,0.002520528,0.002199284,0.002026307,0.001853329,0.002094474,0.001802347,0.001995133
Macau,Quad Btu,5.96E-05,5.69E-05,5.69E-05,5.82E-05,5.82E-05,5.00E-05,5.69E-05,2.71E-05,2.71E-05,2.51E-05,2.88E-05,2.79E-05,2.59E-05,3.71E-05,4.24E-05,3.31E-05,3.26E-05,3.61E-05,0,0,0,0,0,0,0,0,0
Macedonia,Quad Btu,--,--,0.046361849,0.04560344,0.047713795,0.049032766,0.048063322,0.044845032,0.055436373,0.050292384,0.051235449,0.055456157,0.048056727,0.049863718,0.049857123,0.049283371,0.04537262,0.046058485,0.051070577,0.049329535,0.045761717,0.052923732,0.050457255,0.045966157,0.04521543,0.039955796,0.036277298
Madagascar,Quad Btu,0.000277719,0.000277719,0.000277719,0.000299082,0.000256356,0.00021363,0.00021363,0.000256356,0.000256356,0.000170904,0.00021363,0.00021363,0.00021363,0.00021363,0.00021363,0.000364539,0.000322176,0.000217967,0.000282675,0.000308845,0.000849693,0.003263073,0.0061933,0.010031733,0.009109352,0.009321753,0.012094406
Malawi,Quad Btu,0.001547806,0.00144136,0.001539638,0.001565615,0.001590466,0.001565615,0.001665019,0.001598574,0.001427096,0.001560755,0.001733886,0.001627041,0.001637032,0.001647023,0.0015244,0.001450454,0.001491062,0.001403441,0.001399859,0.001366807,0.001570586,0.001483075,0.001495316,0.002055181,0.001876253,0.002148099,0.00193692
Malaysia,Quad Btu,0.045820577,0.053965489,0.056665941,0.047366803,0.052615263,0.057645944,0.057929056,0.056034384,0.05980195,0.067010416,0.085870026,0.103749633,0.125679918,0.18365253,0.229059328,0.237835798,0.244347372,0.305390659,0.337926753,0.361207265,0.510494363,0.510298362,0.54864914,0.520471401,0.525977096,0.59478179,0.632612161
Maldives,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,Quad Btu,0.007937293,0.006429208,0.004312253,0.007112214,0.004836306,0.001232841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Quad Btu,0.000158733,0.000158733,0.000158733,0.000193839,0.000193839,0.000111113,8.07E-05,5.12E-05,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,Quad Btu,0.001441478,0.001544441,0.001570182,0.001595923,0.001621663,0.001621663,0.001029627,0.001184072,0.001827589,0.003500733,0.006512394,0.007696465,0.008056835,0.008134057,0.007439059,0.00936961,0.012484233,0.014749414,0.016782928,0.014778784,0.016552523,0.015889649,0.016709747,0.017586217,0.018307703,0.017615588,0.018050013
Mexico,Quad Btu,0.168668376,0.167959493,0.16359186,0.186802055,0.217992899,0.242872399,0.276830173,0.272371071,0.285702642,0.290207478,0.287440548,0.330407994,0.356270783,0.434064955,0.385860923,0.483892557,0.518902221,0.480142338,0.425901369,0.433310338,0.530335815,0.589767635,0.524390346,0.530655955,0.507337559,0.550451481,0.463809037
Micronesia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,Quad Btu,--,--,0.057325944,0.052923578,0.05151958,0.031292493,0.026747348,0.014349333,0.013016725,0.007091379,0.005758771,0.004545145,0.005734974,0.0083288,0.004426163,0.004330976,0.004521349,0.003093554,0.004711721,0.004259587,0.004426163,0.004711721,0.004545145,0.005949143,0.00369203,0.004363706,0.003250424
Mongolia,Quad Btu,0.119621821,0.125792716,0.111885713,0.101900736,0.092959234,0.093624899,0.092455488,0.090584429,0.089702872,0.090260592,0.093768827,0.093355035,0.099561912,0.094272573,0.095064175,0.098338528,0.106704319,0.109384971,0.10823355,0.115088102,0.122986128,0.124281477,0.13667724,0.141923931,0.139439828,0.140941653,0.143639375
Montenegro,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.013399343,0.010361547,0.015601975,0.008581086,0.017510923,0.017703653,0.015895659,0.015345001,0.014959541,0.015785528,0.012490758
Montserrat,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Quad Btu,0.036104326,0.03972697,0.033885966,0.035046026,0.038261631,0.054237897,0.063742249,0.063396266,0.070010644,0.067751579,0.08177406,0.103815202,0.106399897,0.099520944,0.094758592,0.100497837,0.100253614,0.102146343,0.090810318,0.083422567,0.086068318,0.091807562,0.093252549,0.091685451,0.135107705,0.142487141,0.137688476
Mozambique,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000399479,0.000474382,0.000349544,0.000274642
Namibia,Quad Btu,0,0.000353142,0.000282513,0.000211885,0.000235428,0.000376684,0.000329599,0.00025897,0.000400227,0.000141257,0.000115856,1.98E-05,3.92E-05,0.00021509,7.76E-07,6.20E-06,0.000219903,0.000423788,0.000322098,0.000207476,6.64E-05,0.000200817,0.000207476,9.36E-05,6.96E-05,0.000104798,0.000117974
Nauru,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Quad Btu,0.001139656,0.001595519,0.000700075,0.000879163,0.001856012,0.001497834,0.001593891,0.001660642,0.001608543,0.002442121,0.002881702,0.003223599,0.003712023,0.004737714,0.004184167,0.00411512,0.004085879,0.003184835,0.004660689,0.00455894,0.004486241,0.004847765,0.005065248,0.005339306,0.004657899,0.004581502,0.004074319
Netherlands,Quad Btu,0.333403524,0.31598808,0.317488966,0.312261745,0.337750915,0.3695024,0.365517291,0.366371243,0.375376554,0.312417009,0.329728943,0.350948354,0.347325527,0.353484332,0.350456684,0.336560558,0.32742586,0.348438253,0.328383322,0.307577948,0.307733212,0.302790642,0.331514479,0.336275907,0.377580904,0.461105934,0.427166948
Netherlands Antilles,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,Quad Btu,0.0042056,0.004513327,0.004359464,0.004359464,0.004231244,0.004231244,0.004308176,0.002897761,0.003077268,0.002846473,0.006513552,0.006654047,0.007070836,0.007388923,0.007196594,0.006676664,0.007266704,0.00626426,0.006239154,0.006500671,0.014214399,0.014514278,0.014301588,0.013301477,0.015645727,0.021204212,0.026947027
New Zealand,Quad Btu,0.043914336,0.04314028,0.047963314,0.046474498,0.043813201,0.044358106,0.043283194,0.046289286,0.042361698,0.043900377,0.041724532,0.05098924,0.051341421,0.073792979,0.077267014,0.085772883,0.08436149,0.064274386,0.08100206,0.062496848,0.053585214,0.056110537,0.068553565,0.059697866,0.057401848,0.056057398,0.05001812
Nicaragua,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,Quad Btu,0.00299333,0.003003351,0.002690918,0.002933856,0.002844766,0.003276471,0.003070659,0.003181814,0.003646313,0.002869523,0.002894767,0.002955496,0.003319872,0.003439307,0.003870141,0.003554227,0.003290317,0.002958127,0.003386674,0.00359113,0.004419074,0.004979808,0.005200458,0.004625553,0.005654659,0.0049281,0.005384129
Nigeria,Quad Btu,0.001724626,0.001673145,0.001338516,0.000205925,0.000643517,0.000514814,0.000205925,0.000257407,0.000308888,0.000411851,7.72E-05,0.000772221,0.00110685,0.000592036,0.000205925,0.000205925,0.000205925,0.000638739,0.000847054,0.000875183,0.000978146,0.000823702,0.001235553,0.001135985,0.001183175,0.001207853,0.004124309
Niue,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Quad Btu,0.020867099,0.018255346,0.018497674,0.020543996,0.02372118,0.026279082,0.025794427,0.025390548,0.028029226,0.027006065,0.026629111,0.023667329,0.021055576,0.020355519,0.022751869,0.019359283,0.016612903,0.01817457,0.018766927,0.014108852,0.018309197,0.019197731,0.02005934,0.020867099,0.022056603,0.020079544,0.020059354
Oman,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,2.92E-06,3.23E-06,1.14E-05,3.86E-05,3.32E-07,2.65E-05,8.39E-05,0.000246063,0.000279588,0.000268818,0.000138503,0.000201042,0.00014711,0.002068306,0.002371841
Pakistan,Quad Btu,0.092024153,0.087254939,0.090354928,0.100326921,0.089726259,0.102386354,0.095232533,0.089292694,0.094755612,0.089422763,0.087688504,0.095557707,0.106006621,0.13147856,0.171128071,0.167225987,0.171128071,0.219188742,0.18190216,0.176417563,0.167291022,0.166272144,0.149341435,0.140344963,0.189751353,0.194153852,0.209987059
Palestinian Territories,Quad Btu,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Quad Btu,0.000823749,0.001184139,0.00108117,0.001364334,0.001390076,0.000926717,0.000444861,0.000695038,0.000746522,0.00097316,0.001199798,0.000625841,0.000233943,0.000381292,0.000282278,0.000183264,0.000130841,6.19E-05,0.00096176,0.001258436,0.001430775,0.005843466,0.005520917,0.00604384,0.006003317,0.006103301,0.007722348
Papua New Guinea,Quad Btu,2.65E-05,2.65E-05,2.65E-05,3.23E-05,3.23E-05,3.23E-05,2.69E-05,2.56E-05,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Quad Btu,0.003243677,0.004764151,0.005651094,0.010161832,0.007729074,0.009528301,0.006233942,0.006766108,0.010693998,0.010440585,0.013050732,0.011885035,0.015382125,0.014799276,0.017257375,0.019081944,0.013253462,0.020551735,0.018169659,0.01984218,0.020374346,0.021844137,0.022604374,0.020095593,0.022081934,0.025022966,0.028332701
Philippines,Quad Btu,0.049613133,0.062915849,0.056964049,0.063226764,0.064337174,0.069200771,0.093207842,0.115238383,0.124898953,0.142487852,0.194588305,0.181751961,0.177843317,0.181063507,0.214686732,0.22288156,0.223458973,0.226856829,0.271717406,0.267897594,0.295635644,0.31611161,0.35895124,0.42086772,0.438035161,0.472425893,0.445186162
Poland,Quad Btu,3.052279016,3.043577632,2.878984615,2.897136938,2.825212022,2.797071032,2.831762501,2.721414623,2.531695139,2.430814496,2.352599816,2.355516572,2.290516913,2.377025609,2.363484692,2.321770196,2.384211583,2.342741507,2.306094671,2.159132545,2.296725204,2.343214054,2.305915429,2.338993721,2.287580594,2.271880747,2.290592739
Portugal,Quad Btu,0.108503652,0.115297482,0.116162152,0.122288952,0.129082782,0.14101522,0.135160173,0.136889511,0.125969973,0.151341842,0.151885349,0.127106395,0.140027026,0.132269707,0.133801407,0.134740191,0.1347896,0.116631544,0.102302737,0.115322187,0.066332492,0.09185259,0.120164336,0.10961537,0.111709505,0.135893077,0.118492253
Puerto Rico,Quad Btu,0.003522292,0.003175023,0.002546633,0.002645853,0.002678926,0.002728536,0.002811219,0.002860829,0.002893902,0.002645853,0.002645853,0.00256317,0.007276095,0.022820481,0.021497555,0.021993652,0.024804871,0.024804871,0.024804871,0.024804871,0.024804871,0.024804871,0.02480484,0.02072031,0.029683803,0.030448665,0.02377684
Qatar,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,Quad Btu,0.381328066,0.320178414,0.364041769,0.373365742,0.364465208,0.375316885,0.376944221,0.313162602,0.261635821,0.230367717,0.263080497,0.280424913,0.283870549,0.306586835,0.291766451,0.297511944,0.337780215,0.328348306,0.32899592,0.285265408,0.264051918,0.319879515,0.290770122,0.220138746,0.221780583,0.226684891,0.201484796
Russia,Quad Btu,--,--,7.030512035,6.074556086,5.410708894,5.332345294,5.251671657,4.919181658,4.634691584,4.816007361,5.067357273,5.037615533,4.902167339,4.979398131,4.820827344,4.767740892,4.879955434,4.712944124,5.09834288,4.531894889,4.741508633,4.929065955,5.163046158,4.581183106,4.439286102,4.998910597,4.751306138
Rwanda,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Quad Btu,0,0.000232295,6.63E-05,0.000496718,0.000649896,0.000477359,0.00044526,0.000582695,0.00072013,0.000569311,1.36E-05,7.12E-05,0.000272642,0.000405835,0.000333709,0.000677282,0.000367218,0.000601219,0.000730487,0.000989023,0.00111829,0.001376826,0.001637822,0.002299334,0.002578447,0.002541535,0.002686376
Senegal,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002989929,0.003578498,0.00393164,0.005061692,0.005061692,0.005979859,0.00675677,0.009464186,0.00821642,0.008239963,0.008593104,0.00915813,0.0095819
Serbia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.297601055,0.304703647,0.315190751,0.317989481,0.306550484,0.343950961,0.315475506,0.328875241,0.252493528,0.310979318,0.309882979
Seychelles,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Quad Btu,6.00E-05,4.48E-05,4.34E-05,3.52E-05,3.89E-05,3.69E-05,3.09E-05,3.75E-05,2.63E-05,1.22E-05,7.71E-06,1.24E-05,1.25E-05,8.10E-06,1.94E-05,3.62E-05,1.04E-05,1.06E-05,2.48E-05,6.75E-06,1.13E-05,0.00012936,0.0008818,0.009404069,0.014119034,0.014489785,0.014986087
Slovakia,Quad Btu,--,--,--,0.308598695,0.265807438,0.271386086,0.263774907,0.23938454,0.223210785,0.210626393,0.191771428,0.199685324,0.18967403,0.195685131,0.188982104,0.179251904,0.179814094,0.172029934,0.173521898,0.164180906,0.155985915,0.155877802,0.149045039,0.143725864,0.139590648,0.138858347,0.133114083
Slovenia,Quad Btu,--,--,0.07130088,0.068329,0.063416299,0.06354973,0.060177555,0.065296468,0.066545871,0.060262466,0.05974087,0.063064525,0.067892315,0.064823393,0.065187297,0.062979614,0.063452689,0.063852983,0.063040265,0.060019863,0.059643829,0.060966013,0.060056254,0.053991191,0.042690355,0.04373634,0.047124493
Solomon Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Quad Btu,3.179467374,3.11254868,3.073283709,3.167713949,3.211741901,3.420483679,3.558396853,3.700907133,3.770858969,3.600078859,3.726854714,3.689177404,3.808275619,4.041401015,4.26982111,4.153205613,4.241987079,4.369328745,4.716411656,4.33866776,4.372734643,4.238425716,4.418848006,4.369593574,4.392983056,4.286315392,4.345631775
South Sudan,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0
Spain,Quad Btu,1.065560134,1.078027457,1.068886262,1.006775915,0.970392149,0.966206206,0.831531967,0.926948846,0.902715629,0.987565829,1.047232491,0.956001555,1.05116954,0.971998646,1.031099639,1.007251076,0.900724477,0.958784641,0.597345413,0.427192477,0.337273891,0.565464364,0.642598853,0.477717943,0.520436946,0.593155047,0.458767101
Sri Lanka,Quad Btu,1.21E-05,1.40E-05,1.30E-05,1.37E-05,1.43E-05,1.46E-05,1.50E-05,1.54E-05,1.58E-05,6.33E-06,2.10E-05,1.19E-05,0.000430259,0.002404391,0.002404391,0.002353772,0.002037531,0.001721291,0.002315808,0.002353772,0.002406921,0.013034328,0.018318925,0.01927114,0.039292387,0.053408849,0.056943248
Sudan,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,Quad Btu,0.003745326,0.003512697,0.002303027,0.001302722,0.004047744,0.00353596,0.003024176,0.004946838,0.005037418,0.005127998,0.00415801,0.004445539,0.004292004,0.003491761,0.003440582,0.003349857,0.003382425,0.003522002,0.003619707,0.003338226,0.003238195,0.003266111,0.003382425,0.002419341,0.002824405,0.003145658,0.003394867
Sweden,Quad Btu,0.106301756,0.104037577,0.097073078,0.096270585,0.096671832,0.094665597,0.10713291,0.090452505,0.090853752,0.086755302,0.087156549,0.094866221,0.092974628,0.09483756,0.097818251,0.093318554,0.107878083,0.097445665,0.094207029,0.071192656,0.089678672,0.083774611,0.075090483,0.078644384,0.074500333,0.07657156,0.074828975
Switzerland,Quad Btu,0.009832143,0.008180184,0.005493262,0.004518009,0.004677234,0.00503549,0.003781593,0.002786437,0.002268956,0.002328665,0.003562659,0.003940818,0.003423337,0.003682078,0.003622368,0.004338881,0.004537912,0.005334037,0.004736943,0.004438396,0.004577718,0.004279171,0.003781593,0.003920915,0.003603921,0.003212288,0.00260389
Syria,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,3.05E-05,0,2.40E-05,0,0,2.42E-06,1.54E-05,0,2.83E-05,6.73E-05,0.00010232,0.000147281,0.000100381,5.96E-05,7.85E-05,9.21E-05
Taiwan,Quad Btu,0.395823768,0.431316962,0.501476323,0.540645187,0.576230272,0.594195111,0.680343639,0.772166483,0.844783949,0.88682443,1.046371503,1.105726254,1.176989648,1.276608796,1.318917648,1.372534654,1.427969462,1.48959093,1.431305616,1.379616085,1.452750925,1.533647562,1.520384388,1.537224587,1.545584302,1.50581492,1.528713489
Tajikistan,Quad Btu,--,--,0.014548248,0.007318888,0.001812936,0.000917659,0.000447638,0.000805749,0.00069384,0.000514784,0.000649076,0.000649076,0.000917659,0.001186242,0.002193428,0.002305338,0.002439629,0.004185419,0.004588294,0.004588294,0.004633058,0.00512546,0.009713753,0.01177289,0.019910733,0.023709631,0.031014357
Tanzania,Quad Btu,0.000100507,0.000100507,0.000100507,0.001105581,0.001155835,0.001107727,0.001500401,0.000935349,0.00144502,0.001884514,0.00182406,0.001973879,0.002123698,0.002176708,0.001966366,0.001756025,0.00148766,0.001638796,0.002176708,0.002298726,0.002403918,0.002581363,0.002758808,0.00287729,0.004940559,0.006127231,0.007427708
Thailand,Quad Btu,0.212847712,0.25123656,0.266779577,0.276476427,0.308432533,0.346312106,0.415161059,0.440662197,0.366186561,0.361727204,0.365783717,0.405917966,0.417458526,0.419651685,0.466537058,0.491798877,0.499311579,0.538933602,0.573740595,0.568770212,0.581007728,0.603741212,0.614114779,0.609324472,0.680816843,0.667049836,0.680929171
Timor-Leste (East Timor),Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002185143,0.001995812,0.002710017,0.003424221,0.00307617,0.004511802,0.002291105,0.003330287,0.003238993,0.003439601
Tonga,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,Quad Btu,0,2.43E-05,3.93E-05,1.07E-05,2.95E-05,3.35E-05,1.19E-05,2.99E-05,2.00E-05,1.08E-05,2.12E-05,2.83E-05,4.19E-05,7.00E-05,5.18E-05,8.37E-05,0.000107835,0.000159585,0.000234837,8.50E-05,0.00011324,0.000234166,6.49E-05,2.85E-05,9.66E-05,0.000143218,5.61E-06
Tunisia,Quad Btu,0.000381504,0.000305203,0.000381504,0.00035607,0.000238357,4.20E-05,9.78E-05,3.87E-05,4.13E-05,1.04E-05,3.09E-06,7.60E-05,1.75E-06,3.04E-05,6.57E-05,1.36E-05,7.43E-05,1.36E-05,2.97E-05,2.49E-05,5.33E-05,0.000122122,7.14E-05,8.94E-05,7.89E-05,1.81E-05,4.85E-05
Turkey,Quad Btu,0.793369284,0.842878259,0.87101068,0.798636817,0.866297624,0.890373606,0.961390459,1.051171986,1.133351339,1.100783101,1.16632814,1.053886006,0.961215361,0.932703561,0.940393284,1.120963152,1.221688308,1.436562803,1.439977215,1.46523511,1.38270556,1.468416058,1.441582281,1.22733522,1.386641417,1.427348105,1.510736924
Turkmenistan,Quad Btu,--,--,0.017196036,0.004361378,0.00323065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Territories,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Quad Btu,--,--,3.160275499,2.848119515,2.252675148,2.252725265,1.674596446,1.630117288,1.65532632,1.645302848,1.67091282,1.617111833,1.604206612,1.794577408,1.668657539,1.599921578,1.71952666,1.774505405,1.763153823,1.538026637,1.656253492,1.827504515,1.836951637,1.787235215,1.502974852,1.228319705,1.330201965
United Arab Emirates,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0.000708318,0.003612423,0.00424991,0.004816564,0.005572104,0.010790048,0.005194334,0.013151109,0.021107884,0.022760627,0.035864514,0.048968402,0.05588631,0.057984426,0.045254025,0.053915584
United Kingdom,Quad Btu,2.736892505,2.721212874,2.55845316,2.22923231,2.100607924,1.977741305,1.835287998,1.621325291,1.623253114,1.432347177,1.540536633,1.641271838,1.512261888,1.619988667,1.553877172,1.589888915,1.73745738,1.620117188,1.500720651,1.252267639,1.319252309,1.323959026,1.64616414,1.547553654,1.255225493,0.977653977,0.471733146
United States,Quad Btu,19.17262581,18.9916659,19.12246675,19.83515403,19.90946091,20.08872232,21.00190926,21.44542047,21.65574017,21.62253447,22.57952535,21.91425833,21.90398024,22.32092479,22.46618559,22.79653517,22.44715515,22.74946865,22.38744588,19.69119726,20.83396242,19.65778728,17.37823641,18.03899998,17.99800001,15.549,14.22597264
Uruguay,Quad Btu,2.34E-05,0,0,0,0,0,2.34E-05,2.34E-05,2.34E-05,2.34E-05,2.34E-05,2.34E-05,2.34E-05,2.34E-05,2.34E-05,2.34E-05,4.67E-05,4.67E-05,4.67E-05,7.01E-05,9.35E-05,4.67E-05,7.01E-05,2.82E-06,2.64E-06,6.57E-06,1.07E-05
Uzbekistan,Quad Btu,--,--,0.102409934,0.079233431,0.079920029,0.045849501,0.04963342,0.042050325,0.044003315,0.043682903,0.053432597,0.055171979,0.05509569,0.042340222,0.049801255,0.048122904,0.051571153,0.054531154,0.053173215,0.057674248,0.056102701,0.059001671,0.059596723,0.061412394,0.069700698,0.06164186,0.06844036
Vanuatu,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
