,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Botswana,Quad Btu,0.017737281,0.017132865,0.021851958,0.020829101,0.020154944,0.020503646,0.017272346,0.015854293,0.018690398,0.015970527,0.020898841,0.020364165,0.021201049,0.019550529,0.021038321,0.023688453,0.022758582,0.020573386,0.018527671,0.017318839,0.009786888,0.008415329,0.005904678,0.014389747,0.017225131,0.029557163,0.028859178
Brazil,Quad Btu,0.373904014,0.407331556,0.38998799,0.390230219,0.396407047,0.414331961,0.426879401,0.437198338,0.42203483,0.465853977,0.491554428,0.481429274,0.430876172,0.441873349,0.480363468,0.482470857,0.485862057,0.50616081,0.500177765,0.421768378,0.525878216,0.554025175,0.572143872,0.631514093,0.687568256,0.678221969,0.75856127
Brunei,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,Quad Btu,0.301763555,0.262734703,0.269524064,0.269125159,0.263891527,0.274470484,0.274638024,0.274231141,0.265718511,0.228763964,0.233287545,0.248086916,0.227926264,0.252602519,0.243236233,0.233925793,0.239757782,0.268678385,0.264785074,0.240667285,0.260093953,0.320208916,0.280868918,0.24316443,0.265206292,0.272899711,0.233532494
Burkina Faso,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),Quad Btu,0.002511007,0.002102713,0.001490272,0.000673685,0.000530782,0.00095949,0.000877832,0.000898246,0.003123447,0.013698256,0.01184052,0.01310623,0.009880709,0.01545392,0.011166835,0.01345328,0.015576408,0.013677842,0.012412131,0.014414812,0.013142977,0.01469041,0.013220553,0.009274393,0.01207317,0.008417785,0.008960445
Burundi,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Quad Btu,0,0,0,0,0,0,0,0,0,0,5.62E-06,1.33E-06,5.53E-07,6.95E-07,1.29E-08,4.44E-06,8.86E-06,0.000499522,0.000289493,0.000321538,0.000341634,0.000381827,0.000422019,0.002191047,0.010034123,0.024560928,0.028840571
Cameroon,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Quad Btu,0.899252675,0.929050095,0.962322062,0.90934887,0.952826181,0.958174436,0.975092385,1.035360305,1.075563174,1.073434787,1.145690803,1.140688183,1.129518698,1.134630466,1.079874522,1.07468999,1.063647844,1.147182493,1.052805804,0.887228197,0.916097859,0.862869988,0.793233526,0.766164807,0.74505227,0.752317998,0.712861574
